Input data,kjv_ceph
user,ndp
function,wordcount
async toggle,True
forbid ndp,False
load balance strategy,roundrobin
Throughput, Mean Latency(ms) 
1,0.22238107200246304
2,0.22777234099339694
3,0.22450262866914272
4,0.21916255049291067
5,0.22405049341032282
6,0.22337755650126687
7,0.22690627171375258
8,0.2266714041288651
9,0.23040717766788374
10,0.23087685130012686
11,0.2351071966298729
12,0.23510800641330812
13,0.2398286666967369
14,0.24067230349880578
15,0.24357414999976754
16,0.24233348556117562
17,0.24767872540841757
18,0.26273986405511907
19,0.2494440730492658
20,0.2667860223504249
